110	dUMP	9355207	1889554.5	4	111,114
111	dTMP	10047137	1889554.5	3	113
112	Thymine	10047137	2437146.5	1	
113	Thymidine	10047137	2169389.5	2	112
114	Deoxyuridine	9355207	2169389.5	1	
115	CMP	8072448.5	1889554.5	2	117
116	Cytosine	8072448.5	2437146.5	1	
117	Cytidine	8072448.5	2169389.5	2	116
118	dCMP	7672421	1889554.5	2	119
119	Deoxycytidine	7672421	2169389.5	1	
120	UDP	8432880.5	1689216.5	2	107
121	UTP	8153619	1507808.5	2	120
122	CDP	7981630.5	1689216.5	2	115
123	CTP	7702369	1507808.5	3	121,122
124	dCDP	7529451	1689216.5	2	118
125	dCTP	7250189	1507808.5	2	124,123
126	dUDP	9206578	1689216.5	2	110
127	dUTP	8927316	1507808.5	1	126
128	dTDP	9834962	1689216.5	2	111
129	dTTP	9555700	1507808.5	1	128
130	5-oxoproline	6457070.5	5527583.5	2	
131	N-Acetylasparagine	604293.5	3494548.5	1	72
132	N-acetylaspartate	659907.5	4306562.5	1	
133	L-Cysteic acid	2536394.5	3658962.5	1	
134	Nicotinate	599138.5	776032.5	1	135
135	NaMN	599138	1237177.5	3	140,136
136	NAD	1167118	1237177.5	4	138,139,137
137	NADH	1167118	1578751.5	1	
138	NMN	1761911.5	1237177.5	2	
139	Nicotinamide	1761911.5	850684.5	2	138
140	Quinolinate	599138.5	1578751.5	2	43
141	L-Aspartate	8382776	205219.5	1	105
142	Carbamoyl P	9126770	205219.5	1	105
